Serial2,F05_01,F05_01_ENG,F05_02,F05_02 ENG,F05_03,F05_04,F12,F13,F15,F15 ENG,F16,F16 ENG,F20,F21,F30,F30 ENG,F31_01,F31_01_ENG,F31_02,F31_02_ENG,F31_03,F31_03_ENG,F31_04,F31_04_ENG,F31_05,F31_05_ENG,F31_06,F31_06_ENG,F31_07,F31_07_ENG,F31_08,F31_08_ENG,F32,F33,hFerienDauer,hGruppePersonen,F80,F80_a05,F81_01,F81_02,F81_03,F81_04,F81_05,F81_06,F81_Total,F82_01,F82_02,F82_03,F82_04,F82_05,F82_06,F82_07,F82_Total,F83,F85,F105,F105A,F105_Code,F105_Code_nr,F105_OrgCode,F125,F125_ENG,F125_a11,F125_a11 ENG,F130,F130_a07,F135_01,F12_F13_Mittelwert_2Cat_final
24893,Asien,Asia,Philippinen,Philippines,Caraga,,26.01.2024,28.01.2024,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,3,2,CHF,,157,16,100,0,40,20,333,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,**,,3,Winter
24895,Nord- und Mittelamerika,North and Central America,Vereinigte Staaten von Amerika,United States of America,California,,16.01.2024,29.01.2024,Winter,Winter,Rundreise durch Europa: mehrere Übernachtungsorte in der Schweiz,Round trip through Europe: several places to stay in Switzerland,8,15,Nein,Non,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,1,,14,1,CHF,,0,0,0,0,0,0,0,,,,,,,,,,Ja,Les Diablerets,,Les Diablerets,#N/A,Villars-Diablerets-Gryon-Bex,Andere,Other,friends house,Friends house,,,2,Winter
24897,Europa,Europe,Vereinigtes Königreich,United Kingdom,England,Leeds,22.01.2024,29.01.2024,Winter,Winter,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),2,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,3,,8,3,CHF,,500,0,500,0,0,750,1750,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Andere,Other,See above,,,,0,Winter
24900,Europa,Europe,Frankreich,France,Auvergne-Rhône-Alpes,,27.01.2024,28.01.2024,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,3,,2,3,€,,300,0,80,50,0,100,530,,,,,,,,,,Ja,Château-d'Oex,,Château-d'Oex,411,Pays d'Enhaut Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,**,,2,Winter
24901,Europa,Europe,Vereinigtes Königreich,United Kingdom,England,London City of,25.01.2024,30.01.2024,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,6,,6,6,CHF,,0,1500,3000,0,0,0,4500,,,,,,,,,,Ja,Les Diablerets,,Les Diablerets,#N/A,Villars-Diablerets-Gryon-Bex,Kostenlose Wohnung/Haus (eigene oder von Freunden / Verwandten etc.),Free apartment/house (own or from friends / relatives etc.),,,,,6,Winter
24905,Europa,Europe,Frankreich,France,Provence-Alpes-Côte d'Azur,,27.01.2024,03.02.2024,Winter,Winter,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),2,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,8,2,€,,0,0,0,0,300,0,300,,,,,,,,,,Ja,Morges,,Morges,295,Morges Région,Kostenlose Wohnung/Haus (eigene oder von Freunden / Verwandten etc.),Free apartment/house (own or from friends / relatives etc.),,,,,6,Winter
24909,Australien und Ozeanien,Australia and Oceania,Neuseeland,New Zealand,Waikato,,18.01.2024,26.01.2024,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,6,,9,6,CHF,,10000,500,5000,2000,0,0,17500,,,,,,,,,,Ja,Château-d'Oex,,Château-d'Oex,411,Pays d'Enhaut Tourisme,Gemietete Wohnung / Haus,Rented apartment / house,,,,,9,Winter
24910,Europa,Europe,Vereinigtes Königreich,United Kingdom,England,Barnet,28.01.2024,31.01.2024,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,4,2,£,,550,200,60,0,0,0,810,,,,,,,,,,Ja,Villars-sur-Ollon,,Villars-sur-Ollon,#N/A,Villars-Diablerets-Gryon-Bex,Gemietete Wohnung / Haus,Rented apartment / house,,,,,4,Winter
24913,Europa,Europe,Frankreich,France,Île-de-France,,20.01.2024,21.01.2024,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,3,,2,3,€,,300,500,150,0,30,0,980,,,,,,,,,,Ja,Château-d'Oex,,Château-d'Oex,411,Pays d'Enhaut Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,****,,2,Winter
24917,Europa,Europe,Schweiz,Switzerland,Waadt,,23.01.2024,29.01.2024,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,7,2,CHF,,2000,60,300,0,0,0,2360,,,,,,,,,,Ja,Les Diablerets,,Les Diablerets,#N/A,Villars-Diablerets-Gryon-Bex,Hotel / Kurhaus,Hotel / Spa House,,,*****,,7,Winter
24924,Europa,Europe,Vereinigtes Königreich,United Kingdom,England,Manchester,19.01.2024,23.01.2024,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,5,2,£,,0,0,0,0,0,0,0,,,,,,,,,,Ja,Château-d'Oex,,Château-d'Oex,411,Pays d'Enhaut Tourisme,Gemietete Wohnung / Haus,Rented apartment / house,,,,,5,Winter
24927,Europa,Europe,Vereinigtes Königreich,United Kingdom,England,London City of,25.01.2024,29.01.2024,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,1,,5,1,CHF,,0,0,300,100,0,500,900,,,,,,,,,,Ja,Rougemont,,Rougemont,413,Pays d'Enhaut Tourisme,Kostenlose Wohnung/Haus (eigene oder von Freunden / Verwandten etc.),Free apartment/house (own or from friends / relatives etc.),,,,,5,Winter
24932,Europa,Europe,Schweiz,Switzerland,Bern,,14.01.2024,28.01.2024,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,15,2,CHF,,0,200,1000,0,0,0,1200,,,,,,,,,,Ja,Rougemont,,Rougemont,413,Pays d'Enhaut Tourisme,,#N/A,,,,,,Winter
24933,Europa,Europe,Schweiz,Switzerland,Bern,,19.01.2024,21.01.2024,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,4,,3,4,CHF,,0,0,0,0,0,0,0,,,,,,,,,,Ja,Château-d'Oex,,Château-d'Oex,411,Pays d'Enhaut Tourisme,Gruppenunterkunft,Group accommodation,,,,,3,Winter
24934,Europa,Europe,Frankreich,France,Île-de-France,,25.01.2024,28.01.2024,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,4,,4,4,€,,0,500,600,0,0,0,1100,,,,,,,,,,Ja,Les Diablerets,,Les Diablerets,#N/A,Villars-Diablerets-Gryon-Bex,Kostenlose Wohnung/Haus (eigene oder von Freunden / Verwandten etc.),Free apartment/house (own or from friends / relatives etc.),,,,,4,Winter
24935,Südamerika,South America,Brasilien,Brazil,Sao Paulo,,09.01.2024,18.01.2024,Winter,Winter,Rundreise durch Europa: mehrere Übernachtungsorte in der Schweiz,Round trip through Europe: several places to stay in Switzerland,4,19,Nein,Non,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,3,,10,3,CHF,,4200,1100,1800,300,0,0,7400,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Andere,Other,"Não fiquei em Lausanne, fiz um bate e volta a partir de Berna",,,,0,Winter
24940,Europa,Europe,Schweiz,Switzerland,Bern,,24.12.2023,01.01.2024,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,9,2,CHF,,0,150,300,0,0,0,450,,,,,,,,,,Ja,Leysin,,Leysin,7,Aigle-Leysin-Les Mosses,Kostenlose Wohnung/Haus (eigene oder von Freunden / Verwandten etc.),Free apartment/house (own or from friends / relatives etc.),,,,,9,Winter
24943,Südamerika,South America,Chile,Chile,,,31.12.2023,17.01.2024,Winter,Winter,Rundreise durch Europa: mehrere Übernachtungsorte in der Schweiz,Round trip through Europe: several places to stay in Switzerland,3,8,Nein,Non,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,18,2,CHF,,1300,650,500,200,100,300,3050,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Andere,Other,No me alojé ahí,,,,0,Winter
24946,Europa,Europe,Schweiz,Switzerland,Genf,,26.01.2024,28.01.2024,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft zu,Applies,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,1,,3,1,CHF,,600,0,200,0,150,200,1150,,,,,,,,,,Ja,Château-d'Oex,,Château-d'Oex,411,Pays d'Enhaut Tourisme,Gemietete Wohnung / Haus,Rented apartment / house,,,,,3,Winter
24951,Nord- und Mittelamerika,North and Central America,Vereinigte Staaten von Amerika,United States of America,Tennessee,,26.01.2024,30.01.2024,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,1,,5,1,CHF,,0,60,1000,200,100,0,1360,,,,,,,,,,Ja,Villars-sur-Ollon,,Villars-sur-Ollon,#N/A,Villars-Diablerets-Gryon-Bex,Andere,Other,Friends chalet,,,,5,Winter
24957,Europa,Europe,Deutschland,Germany,Sachsen,,26.01.2024,29.01.2024,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,4,2,€,,100,0,0,0,0,80,180,,,,,,,,,,Ja,Château-d'Oex,,Château-d'Oex,411,Pays d'Enhaut Tourisme,Bed & Breakfast,Bed & Breakfast,,,,,4,Winter
24958,Europa,Europe,Schweiz,Switzerland,Genf,,25.01.2024,28.01.2024,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,4,,4,4,CHF,,500,0,150,0,0,0,650,,,,,,,,,,Ja,Leysin,,Leysin,7,Aigle-Leysin-Les Mosses,Gemietete Wohnung / Haus,Rented apartment / house,,,,,4,Winter
24970,Europa,Europe,Belgien,Belgium,Wallonia,,03.01.2024,16.01.2024,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,3,,14,3,€,,0,0,500,0,0,500,1000,,,,,,,,,,Ja,Le Sentier,,Le Sentier,#N/A,Vallée de Joux,Andere,Other,Domicile de notre fils,,,,14,Winter
24971,Europa,Europe,Schweiz,Switzerland,Aargau,,28.01.2024,31.01.2024,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,4,2,CHF,,530,140,300,0,100,0,1070,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,***,,4,Winter
24972,Europa,Europe,Frankreich,France,Île-de-France,,18.01.2024,27.01.2024,Winter,Winter,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),6,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,10,2,€,,2200,1150,1300,150,0,300,5100,,,,,,,,,,Ja,Château-d'Oex,,Château-d'Oex,411,Pays d'Enhaut Tourisme,Bed & Breakfast,Bed & Breakfast,,,,,1,Winter
24973,Europa,Europe,Vereinigtes Königreich,United Kingdom,England,Hertfordshire,07.01.2024,30.01.2024,Winter,Winter,Rundreise durch Europa: nur ein Übernachtungsort in der Schweiz,Round trip through Europe: only one overnight stay in Switzerland,,15,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,9,,24,9,CHF,,1000,100,100,10,0,500,1710,,,,,,,,,,Ja,Château-d'Oex,,Château-d'Oex,411,Pays d'Enhaut Tourisme,Gemietete Wohnung / Haus,Rented apartment / house,,,,,9,Winter
24977,Europa,Europe,Schweiz,Switzerland,Zürich,,19.01.2024,20.01.2024,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,3,,2,3,CHF,,300,0,120,0,0,30,450,,,,,,,,,,Ja,Château-d'Oex,,Château-d'Oex,411,Pays d'Enhaut Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,***,,2,Winter
24983,Europa,Europe,Schweiz,Switzerland,Waadt,,01.12.2023,31.03.2024,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,6,,122,6,CHF,,6400,2500,4000,0,0,1800,14700,,,,,,,,,,Ja,Ormont-Dessus,,Ormont-Dessus,673,Villars-Diablerets-Gryon-Bex,Gemietete Wohnung / Haus,Rented apartment / house,,,,,122,Winter
24985,Europa,Europe,Schweiz,Switzerland,Aargau,,16.01.2024,19.01.2024,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,1,,4,1,CHF,,270,86,250,0,0,0,606,,,,,,,,,,Ja,Château-d'Oex,,Château-d'Oex,411,Pays d'Enhaut Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,***,,4,Winter
24987,Europa,Europe,Italien,Italy,Piemonte,,20.01.2024,21.01.2024,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,3,,2,3,CHF,,250,200,200,100,0,0,750,,,,,,,,,,Ja,Château-d'Oex,,Château-d'Oex,411,Pays d'Enhaut Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,***,,2,Winter
24997,Europa,Europe,Deutschland,Germany,Hessen,,23.01.2024,30.01.2024,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,3,,8,3,€,,2900,350,500,0,0,700,4450,,,,,,,,,,Ja,Leysin,,Leysin,7,Aigle-Leysin-Les Mosses,Hotel / Kurhaus,Hotel / Spa House,,,***,,8,Winter
24999,Europa,Europe,Vereinigtes Königreich,United Kingdom,England,London City of,26.01.2024,28.01.2024,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,4,,3,4,£,,250,200,300,25,25,200,1000,,,,,,,,,,Ja,Château-d'Oex,,Château-d'Oex,411,Pays d'Enhaut Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,****,,3,Winter
25002,Europa,Europe,Frankreich,France,Grand Est,,20.01.2024,28.01.2024,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,6,,9,6,CHF,,400,0,500,100,0,0,1000,,,,,,,,,,Ja,Château-d'Oex,,Château-d'Oex,411,Pays d'Enhaut Tourisme,Gemietete Wohnung / Haus,Rented apartment / house,,,,,9,Winter
25003,Europa,Europe,Schweiz,Switzerland,Genf,,01.07.2022,07.07.2022,Sommer,Summer,Rundreise nur innerhalb der Schweiz (mehrere Übernachtungsorte in der Schweiz),Round trip only within Switzerland (several overnight locations in Switzerland),5,,Nein,Non,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,1,,7,1,CHF,,0,70,30,30,50,0,180,,,,,,,,,,Ja,Leysin,,Leysin,7,Aigle-Leysin-Les Mosses,Gruppenunterkunft,Group accommodation,,,,,1,Summer
25005,Europa,Europe,Deutschland,Germany,Baden-Württemberg,,23.12.2023,24.12.2023,Winter,Winter,Rundreise durch Europa: nur ein Übernachtungsort in der Schweiz,Round trip through Europe: only one overnight stay in Switzerland,,14,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,4,,2,4,€,,300,0,0,0,0,0,300,,,,,,,,,,Ja,Lausanne (??),,Lausanne,253,Lausanne Tourisme,Hotel / Kurhaus,Hotel / Spa House,,,****,,1,Winter
25009,Asien,Asia,China,China,Shandong,,22.12.2023,26.12.2023,Winter,Winter,Rundreise durch Europa: mehrere Übernachtungsorte in der Schweiz,Round trip through Europe: several places to stay in Switzerland,3,3,Nein,Non,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,1,,5,1,£,,180,40,110,14,0,25,369,,,,,,,,,,Ja,Lausanne (??),,Lausanne,253,Lausanne Tourisme,,#N/A,,,,,,Winter
25010,Asien,Asia,Singapur,Singapore,South East,,26.12.2023,29.12.2023,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,4,,4,4,€,,500,50,450,50,80,50,1180,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Gemietete Wohnung / Haus,Rented apartment / house,,,,,4,Winter
25013,Europa,Europe,Vereinigtes Königreich,United Kingdom,England,Newcastle upon Tyne,27.01.2024,31.01.2024,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,2,,5,2,£,,500,450,350,0,0,50,1350,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Andere,Other,I did not stay over.,,,,5,Winter
25014,Europa,Europe,Frankreich,France,Île-de-France,,26.12.2023,31.12.2023,Winter,Winter,Ferien mit nur einem Übernachtungsort in der Schweiz,Holidays with only one overnight stay in Switzerland,,,Nein,Non,Trifft zu,Applies,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,Trifft nicht zu,Not applicable,1,,6,1,€,,0,60,200,0,30,50,340,,,,,,,,,,Ja,Lausanne,,Lausanne,253,Lausanne Tourisme,Kostenlose Wohnung/Haus (eigene oder von Freunden / Verwandten etc.),Free apartment/house (own or from friends / relatives etc.),,,,,6,Winter
